time;Channel_01;Channel_02;Channel_03;Channel_04;Channel_05;Channel_06;Channel_07;Channel_08;Channel_09;Channel_10;Channel_11;Channel_12;Channel_13;Channel_14;Channel_15;Channel_16;Channel_17;Channel_18;Channel_19;Channel_20;Channel_21;Channel_22;Channel_23;Channel_24;empty_spacer;Channel_26;Channel_27;Channel_28;Channel_29;zero_JT;one_JT;two_JT;three_JT;four_JT;five_JT;Channel_36;Channel_37;Channel_38;Channel_39;Channel_40;Channel_41;Channel_42;Channel_43;Channel_44;Channel_45;Channel_46;Channel_47;Channel_48;R_VastLat;R_RectFem;R_VastMed;R_BicepFem;R_SemiT;L_MedGastroc;L_LatQuad;L_LatGastroc;L_GlutMed;L_RectFem;R_MedGastroc;R_RectFem_2;L_SemiT;R_BicepsFem;R_LGastroc;R_VL
0,0;0,40054935961961746;-0,02670323010534048;0,789654441177845;-0,7743952795863152;0,28610669542104006;0,5760280881077051;-0,003814697265625;-0,08010980673134327;0,7591363973915577;-0,14877539360895753;0,1106279669329524;0,011444324627518654;-0,04959176294505596;0,553139578551054;0,8049134165048599;-0,7286182604730129;-0,003814697265625;-0,29373608995229006;0,9346151724457741;-0,16403442714363337;0,3089952515438199;-0,24032953660935163;0,3852903610095382;-0,14114589430391788;-1,520180106163025;-1,7449454069137573;-1,78202486038208;-1,78385591506958;-1,7351796627044678;-1,769054651260376;-1,7881284952163696;-1,780651569366455;-1,5909819602966309;-0,06141756474971771;1,012207269668579;1,085755705833435;-1,7965209484100342;1,0460822582244873;-0,12397955358028412;1,3062485456466675;3,777599811553955;3,931715965270996;5,0;-0,8489356637001038;-0,7651636600494385;-0,7671473026275635;-0,7976653575897217;-0,7793545722961426;-1,449683427810669;-1,4870679378509521;-1,4885939359664917;-1,5783169269561768;-1,466926097869873;-1,4931715726852417;-1,5078202486038208;-1,5944914817810059;-2,4805829524993896;-2,550469160079956;-2,5797665119171143;-2,56954288482666;-2,521782159805298;-2,56801700592041;-2,5942625999450684;-2,5896849632263184
0,001;0,20218209829181433;-0,10299833957105875;0,8354315534234047;-0,8278018794953823;0,35477234050631523;0,37003131583333015;0,034332857467234135;-0,0877393176779151;0,7438773289322853;-0,09536883444525301;0,28610669542104006;-0,14114589430391788;-0,16403442714363337;0,5989166907966137;0,7209888659417629;-0,7209887728095055;-0,1182573614642024;-0,37003124598413706;0,8354315534234047;-0,20981149282306433;0,2555886749178171;-0,2327000256627798;0,43106740340590477;-0,24795904755592346;-1,51972234249115;-1,7423514127731323;-1,780651569366455;-1,78202486038208;-1,7335011959075928;-1,767376184463501;-1,7875181436538696;-1,77836275100708;-1,5914397239685059;-0,05394064262509346;1,003509521484375;1,0767529010772705;-1,78355073928833;1,0498969554901123;-0,15465018153190613;1,3085373640060425;3,789349317550659;3,940260887145996;5,0;-0,8336766362190247;-0,7489891052246094;-0,7508201599121094;-0,7814908027648926;-0,7631799578666687;-1,4367132186889648;-1,4750133752822876;-1,4780651330947876;-1,5679408311843872;-1,456855058670044;-1,4824903011322021;-1,4971389770507812;-1,5838102102279663;-2,4682230949401855;-2,537651538848877;-2,56893253326416;-2,559319496154785;-2,512474298477173;-2,558098793029785;-2,5843441486358643;-2,5796139240264893
0,002;0,23270014207810163;-0,10299833957105875;0,7667658850550652;-0,9498740546405315;0,17166405450552702;0,34714280627667904;-0,011444208212196827;-0,05722127389162779;0,6294346880167723;-0,1716639380902052;0,20218209829181433;-0,06485078483819962;-0,19455247092992067;0,5378806032240391;0,7209888659417629;-0,6370640825480223;0,0801099231466651;-0,27847709134221077;0,9422446601092815;-0,30136562418192625;0,28610669542104006;-0,3471426898613572;0,5760280881077051;-0,30136562418192625;-1,519874930381775;-1,7417410612106323;-1,779736042022705;-1,78019380569458;-1,7313649654388428;-1,764934778213501;-1,7856870889663696;-1,7765315771102905;-1,5922026634216309;-0,05241474136710167;0,9891660809516907;1,070496678352356;-1,7612725496292114;1,0505073070526123;-0,19523918628692627;1,3071640729904175;3,798504590988159;3,9514000415802;5,0;-0,8170443177223206;-0,7325093746185303;-0,7335774898529053;-0,7651636600494385;-0,7456321120262146;-1,4237430095672607;-1,4646371603012085;-1,465705394744873;-1,555275797843933;-1,4457160234451294;-1,471045970916748;-1,4853894710540771;-1,5735865831375122;-2,4601356983184814;-2,530174732208252;-2,55947208404541;-2,548638105392456;-2,5028610229492188;-2,548485517501831;-2,5751888751983643;-2,5716793537139893
0,003;0,21744112018495798;-0,1182573614642024;0,8506905287504196;-0,8201723918318748;0,1945525873452425;0,43869693763554096;0,11825747787952423;-0,12588687241077423;0,6752117071300745;-0,27847709134221077;0,1945525873452425;-0,011444208212196827;-0,19455247092992067;0,34714280627667904;0,8506905287504196;-0,5989165510982275;0,057221390306949615;-0,33188366796821356;0,9117266163229942;-0,27847709134221077;0,29373622965067625;-0,3471426898613572;0,4997330252081156;-0,3089951351284981;-1,5154497623443604;-1,7392996549606323;-1,778210163116455;-1,779736042022705;-1,7295337915420532;-1,763256311416626;-1,783703327178955;-1,7742427587509155;-1,5874723196029663;-0,046921491622924805;0,9835202693939209;1,0598154067993164;-1,7450979948043823;1,0549324750900269;-0,23201343417167664;1,3051804304122925;3,8065919876098633;3,958266496658325;5,0;-0,8004119992256165;-0,7158769965171814;-0,7175555229187012;-0,7480735778808594;-0,7283893823623657;-1,4136720895767212;-1,454108476638794;-1,454566240310669;-1,5438315868377686;-1,4348821640014648;-1,4603646993637085;-1,4747081995010376;-1,5633630752563477;-2,4491493701934814;-2,518272638320923;-2,548485517501831;-2,536583423614502;-2,4924850463867188;-2,537804126739502;-2,565728187561035;-2,56221866607666
0,004;0,17929357709363103;-0,02670323010534048;0,8278019726276398;-0,8812084794044495;0,31662476249039173;0,43869693763554096;-0,06485078483819962;-0,11062785051763058;0,8354315534234047;-0,3166246460750699;0,12588698882609606;-0,02670323010534048;-0,14114589430391788;0,553139578551054;0,8278019726276398;-0,6828411016613245;0,04196237132418901;-0,29373608995229006;0,9346151724457741;-0,30136562418192625;0,32425427343696356;-0,35477220080792904;0,5378806032240391;-0,30136562418192625;-1,5175859928131104;-1,7383841276168823;-1,7766841650009155;-1,77836275100708;-1,7272449731826782;-1,761730432510376;-1,78171968460083;-1,7731746435165405;-1,5891507863998413;-0,04142824560403824;0,9765011072158813;1,0517281293869019;-1,7267872095108032;1,0549324750900269;-0,2671091854572296;1,3057907819747925;3,8160524368286133;3,9689478874206543;5,0;-0,7827115058898926;-0,6987869143486023;-0,7000076174736023;-0,7311360239982605;-0,7126725912094116;-1,399786353111267;-1,4426642656326294;-1,4437323808670044;-1,5328450202941895;-1,4229800701141357;-1,450141191482544;-1,4641793966293335;-1,551155924797058;-2,4406042098999023;-2,511101007461548;-2,540398359298706;-2,528191089630127;-2,4831769466400146;-2,529259204864502;-2,55642032623291;-2,550926923751831
0,005;0,3318837843835354;-0,10299833957105875;0,7515069097280502;-0,8812084794044495;0,29373622965067625;0,4615854471921921;0,04196237132418901;0,04196237132418901;0,7515069097280502;-0,2327000256627798;0,12588698882609606;-0,1716639380902052;-0,14114589430391788;0,2479591639712453;0,8201724849641323;-0,6981002166867256;0,003814813680946827;-0,2021819818764925;0,9575037285685539;-0,19455247092992067;0,3013657405972481;-0,27847709134221077;0,5607691593468189;-0,24795904755592346;-1,5168230533599854;-1,7370107173919678;-1,7748531103134155;-1,777294635772705;-1,7264820337295532;-1,7598992586135864;-1,78019380569458;-1,7713435888290405;-1,5900664329528809;-0,03807125985622406;0,964904248714447;1,0390630960464478;-1,7113755941390991;1,0592050552368164;-0,304646372795105;1,3053330183029175;3,8178834915161133;3,9765772819519043;5,0;-0,7688258290290833;-0,6832227110862732;-0,6844434142112732;-0,7163347601890564;-0,6954299211502075;-1,3878843784332275;-1,4306095838546753;-1,4319828748703003;-1,5212482213974;-1,4122987985610962;-1,4383916854858398;-1,452735185623169;-1,540169358253479;-2,4297704696655273;-2,4990463256835938;-2,529564380645752;-2,518272638320923;-2,4737162590026855;-2,519493341445923;-2,545586347579956;-2,541619062423706
0,006;0,28610669542104006;-0,15640491619706154;0,8735790848731995;-0,8659494109451771;0,20218209829181433;0,3318837843835354;0,003814813680946827;0,04196237132418901;0,7133593782782555;-0,11062785051763058;0,011444324627518654;-0,1182573614642024;-0,1716639380902052;0,4997330252081156;0,8583200164139271;-0,5073624197393656;0,026703346520662308;-0,24795904755592346;0,6446937099099159;-0,29373608995229006;0,14877552166581154;-0,5455099977552891;0,3852903610095382;-0,041962251998484135;-1,5154497623443604;-1,7362477779388428;-1,7727168798446655;-1,7757686376571655;-1,7246509790420532;-1,7585259675979614;-1,77836275100708;-1,7713435888290405;-1,5912871360778809;-0,029526207596063614;0,9584954380989075;1,0296025276184082;-1,698405385017395;1,0657663345336914;-0,33836880326271057;1,3021286725997925;3,8300907611846924;3,9857327938079834;5,0;-0,7470054030418396;-0,6633859872817993;-0,6655222177505493;-0,6984817385673523;-0,6787976026535034;-1,379644513130188;-1,4197757244110107;-1,4213016033172607;-1,5125505924224854;-1,400854468345642;-1,4278630018234253;-1,4420539140701294;-1,5296406745910645;-2,4146640300750732;-2,4836347103118896;-2,514610528945923;-2,5054550170898438;-2,4592201709747314;-2,5062179565429688;-2,533379077911377;-2,529716968536377
0,007;0,23270014207810163;-0,09536883444525301;0,8812085725367069;-0,9040970355272293;0,2479591639712453;0,43869693763554096;0,09536894503980875;-0,03433274105191231;0,6523232441395521;-0,3166246460750699;0,18692307639867067;-0,05722127389162779;-0,1182573614642024;0,4234379157423973;0,9117266163229942;-0,560768973082304;-0,06485078483819962;-0,2555885585024953;0,4539559595286846;-0,29373608995229006;0,019073837029282004;-0,7286182604730129;0,18692307639867067;0,21744112018495798;-1,5125505924224854;-1,7327382564544678;-1,7705806493759155;-1,7737849950790405;-1,7235828638076782;-1,7568475008010864;-1,7769893407821655;-1,769359827041626;-1,5888456106185913;-0,024185551330447197;0,9493400454521179;1,017853021621704;-1,682993769645691;1,0663766860961914;-0,37499046325683594;1,300297498703003;3,8351261615753174;3,9927520751953125;5,0;-0,7315937876701355;-0,6476691961288452;-0,6490424871444702;-0,6809338331222534;-0,6624704599380493;-1,3710994720458984;-1,4092469215393066;-1,4106203317642212;-1,5014114379882812;-1,3898680210113525;-1,4170290231704712;-1,4301518201828003;-1,5180437564849854;-2,407644748687744;-2,4769208431243896;-2,5072860717773438;-2,4975204467773438;-2,4505226612091064;-2,4958419799804688;-2,523002862930298;-2,518120050430298
0,008;0,20218209829181433;-0,04959176294505596;0,789654441177845;-0,8735788986086845;0,28610669542104006;0,37003131583333015;0,10299845598638058;0,04196237132418901;0,5989166907966137;-0,10299833957105875;0,019073837029282004;-0,17929344903677702;-0,10299833957105875;0,5455100908875465;0,8125429973006248;-0,5683985538780689;-0,08010980673134327;-0,35477220080792904;0,1945525873452425;-0,6752116605639458;-0,24032953660935163;-0,9880215860903263;0,1945525873452425;0,43869693763554096;-1,5151445865631104;-1,7322804927825928;-1,769359827041626;-1,7707332372665405;-1,7211413383483887;-1,7562371492385864;-1,7751582860946655;-1,765850305557251;-1,5877774953842163;-0,02662699483335018;0,9359121322631836;1,0112916231155396;-1,6579689979553223;1,0653085708618164;-0,4168001711368561;1,299992322921753;3,8436713218688965;4,0023651123046875;5,0;-0,7155718207359314;-0,6304264664649963;-0,6317998170852661;-0,6643015146255493;-0,6443122029304504;-1,3566033840179443;-1,397650122642517;-1,399328589439392;-1,4888991117477417;-1,379797101020813;-1,4055848121643066;-1,4202334880828857;-1,5084306001663208;-2,39650559425354;-2,4659342765808105;-2,4958419799804688;-2,4850080013275146;-2,4401464462280273;-2,4860761165618896;-2,512932062149048;-2,508507013320923
0,009000000000000001;0,2479591639712453;-0,0877393176779151;0,8354315534234047;-0,9040970355272293;0,14877552166581154;0,46921498142182827;-0,019073719158768654;-0,02670323010534048;0,6599527783691883;-0,24032953660935163;0,07248041220009327;-0,20981149282306433;-0,09536883444525301;0,46921498142182827;0,8735790848731995;-0,5531394854187965;0,034332857467234135;-0,22507051471620798;-0,03433274105191231;-1,0795758105814457;-0,41580828838050365;-1,3771266676485538;0,10299845598638058;0,5607691593468189;-1,5156023502349854;-1,7322804927825928;-1,768139123916626;-1,7699702978134155;-1,7199206352233887;-1,7537956237792969;-1,7742427587509155;-1,766308069229126;-1,5864042043685913;-0,017013810575008392;0,929808497428894;0,9981689453125;-1,6459144353866577;1,071107029914856;-0,44945448637008667;1,3016709089279175;3,8480963706970215;4,0067901611328125;5,0;-0,6997024416923523;-0,616083025932312;-0,617303729057312;-0,6501106023788452;-0,6292057633399963;-1,3442435264587402;-1,385748028755188;-1,3883421421051025;-1,4789806604385376;-1,3688105344772339;-1,394750952720642;-1,4090943336486816;-1,4966812133789062;-2,385366678237915;-2,4547951221466064;-2,4865338802337646;-2,4760050773620605;-2,4294650554656982;-2,4750895500183105;-2,5022506713867188;-2,4978256225585938
